persnum1,tcinpsty
1000,003200
1000,005500
1002,033100
1005,003100
1005,016300
1005,003100
1005,000800
1005,001200
1005,002200
1005,006600
1005,002900
1005,013000
1005,005900
1005,004700
1005,006300
1005,005300
1005,007500
1007,008400
1008,004600
1008,014100
1012,004600
1012,016500
1012,010200
1012,019800
1012,007500
1012,015200
1013,009900
1013,005400
1013,005000
1013,018500
1013,036700
1014,022600
1014,010000
1014,010700
1015,007800
1015,005000
1015,005200
1015,009700
1018,007300
1018,002000
1018,007300
1018,002000
1019,003300
1019,004900
1020,001800
1020,004200
1020,007900
1020,001200
1021,004900
1023,010100
1023,003200
1023,011900
1024,015100
1027,004300
1027,005700
1027,006000
1027,004600
1027,002600
1027,002400
1027,004500
1029,001200
1029,001700
1029,006600
1029,002400
1029,002900
1030,005200
1030,002300
1030,008700
1033,011900
1033,010100
1033,007800
1034,000300
1034,001900
1034,001400
1034,001700
1034,002100
1037,001400
1037,002700
1037,002000
1037,012400
1037,000800
1039,001400
1039,011600
1039,018100
1039,013900
1039,005200
1039,012000
1039,003100
1039,009200
1039,013000
1040,001900
1040,001800
1040,002400
1040,001100
1044,001400
1044,006700
1044,007300
1044,007300
1046,001500
1046,006700
1046,009200
1047,008100
1047,002900
1047,006000
1047,002800
1048,004800
1050,012900
1050,007100
1051,003600
1051,003500
1053,002700
1056,001500
1057,002700
1057,005300
1057,020400
1057,006300
1058,003900
1058,004400
1058,002200
1058,003200
1058,002400
1070,002700
1070,006900
1070,001100
1071,002700
1071,009200
1075,004000
1075,005900
1075,004600
1075,004200
1075,007100
1077,001900
1077,001100
1077,001500
1077,003500
1077,003900
1078,002700
1078,004400
1078,002900
1078,010400
1078,004400
1078,019700
1080,000400
1082,007600
1083,003000
1084,001900
1085,001900
1085,003200
1085,002800
1089,003500
1089,004700
1089,007900
1091,006900
1091,001600
1091, 
1091,016500
1091,003500
1093,004500
1093,011300
1093,008400
1093,003100
1093,017300
1093,018800
1093,016400
1094,004900
1094,003800
1094,001600
1094,001000
1095,053900
1096,016600
1097,002500
1097,017700
1097,005100
1098,014900
1099,006700
1099,012800
1100,001100
1100,001400
1100,001400
1100,002200
1100,001800
1100,002500
1100,001800
1100,003600
1104,001300
1104,001000
1104,002800
1104,001200
1104,003300
1104,001000
1104,003300
1104,002700
1104,002000
1106,003000
1106,002200
1106,001300
1106,000500
1106,002100
1106,002400
1106,001300
1106,000800
1106,003400
1106,002400
1106,001900
1109,001500
1109,003000
1109,002000
1109,004200
1109,004100
1109,001400
1110,004500
1110,002500
1110,001500
1110,001900
1110,001700
1110,002100
1110,001500
1110,003100
1110,008600
1110,013500
1110,007300
1110,008800
1112,001600
1112,005800
1112,004200
1112,023600
1113,014100
1113,005000
1113,004600
1113,002900
1114,003100
1114,004100
1114,006000
1114,003100
1114,004100
1114,006000
1115,000800
1115,004400
1116,006900
1116,016700
1116,018400
1117,008100
1117,013700
1119,010500
1120,004600
1120,003000
1120,007600
1120,003900
1121,005000
1122,006700
1122,002400
1122,012100
1122,250200
1122,109800
1123,003100
1123,015900
1125,005300
1125,001400
1125,003400
1125,007800
1126,001600
